Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	supplementary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent
REF0009-mgg-pbdrep | M301600.lib1	1512598.0	0.0	1512598.0	1.0	756299.0	756299.0	7982.0	7626.0	1504616.0	6768.0	1512598.0	0.0	419.0	0.0	0.0	0.0	223277538.0	111637681.0	111639857.0	1189802.0	1189802.0	0.0	0.0	13159.0	0.01105982	148.0	148.0	148.0	150.0	150.0	150.0	39.0	281.6	107.2	3606.0	96.0	7.0	104.0	0.4	0.5277013456318203	0.5041656805046681	99.47229865436819	0.4474420830914757	100.0	0.0	0.027700684517631257	0.0
REF0009-mgg-pbdrep | M301601.lib1	2791142.0	0.0	2791142.0	1.0	1395571.0	1395571.0	19829.0	19050.0	2771313.0	17100.0	2791142.0	0.0	1191.0	0.0	0.0	0.0	411852881.0	205927722.0	205925159.0	2958208.0	2958208.0	0.0	0.0	34137.0	0.01153976	148.0	148.0	148.0	150.0	150.0	150.0	38.9	285.6	107.8	9046.0	234.0	13.0	232.0	0.6	0.7104260549982767	0.6825163320246695	99.28957394500172	0.6126524555182072	100.0	0.0	0.042670706112408474	0.0
REF0009-mgg-pbdrep | M301602.lib1	55215144.0	0.0	55215144.0	1.0	27607572.0	27607572.0	46966839.0	46358412.0	8248305.0	41393932.0	55215144.0	0.0	927319.0	0.0	0.0	0.0	8257483916.0	4128791019.0	4128692897.0	7024940969.0	7024940969.0	0.0	0.0	47431655.0	0.006751894	150.0	150.0	150.0	150.0	150.0	150.0	39.1	292.6	105.4	22212308.0	334297.0	18672.0	613929.0	75.0	85.06151681864671	83.959596302058	14.938483181353291	74.96843981788764	100.0	0.0	1.6794649670749748	0.0
REF0009-mgg-pbdrep | M301603.lib1	48199170.0	0.0	48199170.0	1.0	24099585.0	24099585.0	41420261.0	40892380.0	6778909.0	37426946.0	48199170.0	0.0	812243.0	0.0	0.0	0.0	7198710559.0	3599390672.0	3599319887.0	6186842273.0	6186842273.0	0.0	0.0	41783978.0	0.006753684	149.0	149.0	149.0	150.0	150.0	150.0	39.2	283.5	100.3	19562517.0	394783.0	13975.0	474915.0	77.7	85.93563125672081	84.84042360065537	14.064368743279191	77.6506026971004	100.0	0.0	1.6851804709500187	0.0
REF0009-mgg-pbdrep | M301604.lib1	52305178.0	0.0	52305178.0	1.0	26152589.0	26152589.0	44594270.0	44037078.0	7710908.0	40129962.0	52305178.0	0.0	898012.0	0.0	0.0	0.0	7804428985.0	3902256381.0	3902172604.0	6655169352.0	6655169352.0	0.0	0.0	45062761.0	0.006771091	149.0	149.0	149.0	150.0	150.0	150.0	39.1	280.5	103.0	21018275.0	495641.0	15276.0	489347.0	76.7	85.25784961481251	84.1925784097322	14.742150385187486	76.72273288124552	100.0	0.0	1.7168701729683438	0.0
REF0009-mgg-pbdrep | M301605.lib1	2905224.0	0.0	2905224.0	1.0	1452612.0	1452612.0	101535.0	99870.0	2803689.0	89990.0	2905224.0	0.0	2562.0	0.0	0.0	0.0	431219778.0	215609063.0	215610715.0	15147751.0	15147751.0	0.0	0.0	117378.0	0.007748873	148.0	148.0	148.0	150.0	150.0	150.0	38.9	280.6	106.8	47461.0	1226.0	57.0	1191.0	3.1	3.494911235760134	3.437600680704827	96.50508876423987	3.0975236332895504	100.0	0.0	0.08818597120222055	0.0
REF0009-mgg-pbdrep | M301606.lib1	47491194.0	0.0	47491194.0	1.0	23745597.0	23745597.0	40245393.0	39679006.0	7245801.0	34247476.0	47491194.0	0.0	828654.0	0.0	0.0	0.0	7102959809.0	3551516255.0	3551443554.0	6019985485.0	6019985485.0	0.0	0.0	42789733.0	0.007107946	150.0	150.0	150.0	150.0	150.0	150.0	39.0	297.3	113.3	18883835.0	283664.0	21635.0	650369.0	72.1	84.74285359092045	83.5502388084831	15.257146409079544	72.11331852385096	100.0	0.0	1.7448582151882726	0.0
REF0009-mgg-pbdrep | M301607.lib1	2100462.0	0.0	2100462.0	1.0	1050231.0	1050231.0	62400.0	61370.0	2038062.0	55676.0	2100462.0	0.0	1908.0	0.0	0.0	0.0	310509554.0	155253531.0	155256023.0	9320244.0	9320244.0	0.0	0.0	91896.0	0.009859827	148.0	148.0	148.0	150.0	150.0	150.0	38.9	284.4	103.2	29330.0	632.0	22.0	701.0	2.7	2.9707750009283673	2.921738169983556	97.02922499907163	2.6506549511488426	100.0	0.0	0.09083715868223277	0.0
REF0009-mgg-pbdrep | M301608.lib1	62833664.0	0.0	62833664.0	1.0	31416832.0	31416832.0	53790542.0	53108606.0	9043122.0	49038158.0	62833664.0	0.0	1101137.0	0.0	0.0	0.0	9387357316.0	4693721333.0	4693635983.0	8036894365.0	8036894365.0	0.0	0.0	54958868.0	0.006838322	149.0	149.0	149.0	150.0	150.0	150.0	39.2	278.0	98.5	25462539.0	525182.0	18260.0	548322.0	78.0	85.6078391354036	84.52253556310197	14.392160864596404	78.04440307666923	100.0	0.0	1.7524634565318362	0.0
REF0009-mgg-pbdrep | M301609.lib1	56115490.0	0.0	56115490.0	1.0	28057745.0	28057745.0	47955625.0	47337746.0	8159865.0	43921610.0	56115490.0	0.0	991031.0	0.0	0.0	0.0	8379284204.0	4189676793.0	4189607411.0	7161238356.0	7161238356.0	0.0	0.0	49982202.0	0.006979547	149.0	149.0	149.0	150.0	150.0	150.0	39.2	277.9	97.5	22693062.0	494455.0	16652.0	464704.0	78.3	85.4588011260349	84.35771655918892	14.541198873965103	78.27002847163948	100.0	0.0	1.7660560390722775	0.0
